id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Highway,Sandstone Kings,rock,intense,0.88,144,0.52,0.70,0.14
12,Velvet Underground Cafe,Slow Stereo,jazz,relaxed,0.33,85,0.76,0.50,0.91
13,Electric Daydream,Neon Echo,synthwave,happy,0.80,120,0.78,0.85,0.12
14,Study Hall,LoRoom,lofi,focused,0.38,75,0.62,0.55,0.83
15,Heartbeat City,Indigo Parade,indie pop,moody,0.68,116,0.45,0.74,0.40
16,Galactic Drift,Orbit Bloom,ambient,chill,0.22,55,0.70,0.38,0.95
17,Thunder Clap,Voltline,rock,intense,0.95,160,0.40,0.63,0.08
18,Golden Hour,Paper Lanterns,pop,happy,0.79,126,0.88,0.83,0.28
19,Late Night Groove,Max Pulse,pop,relaxed,0.65,105,0.73,0.80,0.22
20,Autumn Walk,Sandstone Kings,indie pop,chill,0.50,98,0.67,0.61,0.62